title,review
엘리멘탈,영화관에서 못본게 아쉽다 웃다가 슬프다가 맨 마지막 큰 절 장면에선 눈물이 남 한국 정서가 반영된 영화라 더 좋았다
엘리멘탈,작품의 숨은 의미를 알고보면 더 많이 보이는 작품
엘리멘탈,상반된 반응에 환상적 자극 그리고 빛나는 놀라운 아름다움 
엘리멘탈,추천해요  너무 좋아요
엘리멘탈,이영화 강추다
엘리멘탈,아버지의 억압에 억눌렸던 자가     아버지가 되어   똑같이 자식을 억누르는 구나   노인을 위한 나라는 없거늘    왜 노인들은 이다지도 설치는가   나라의 미래가 어둡도다 
엘리멘탈,이건 역대급
엘리멘탈,디즈니   픽사    
엘리멘탈,너무 지루  이런걸  백만 넘게 봤다고 
엘리멘탈,극장에서 보려다 못봤는데 디즈니    에 올라와서 드디어 봤네요   불과 물  공기와 흙까지 의인화하고 이런 스토리를 접목시키다니   입이 떡벌어지는 상상력 그리고 연출 표현   거기에 한국계 스태프까지   놀라움의 연속입니다 
엘리멘탈,지금세상에서 이런화합이 조금이라도 있음좋겠다 
엘리멘탈,단순한 스토리로도 끝까지 영화를 끌고 가는 픽사의 저력
엘리멘탈,한국적 정서가 많이 느껴졌던 애니메이션  잘 감상 했어요  
엘리멘탈, 
엘리멘탈,와   인생영화     애들 영화가 인생영화가 될줄이야
엘리멘탈, 심호흡하고 이해해보자   다름을 이해하고 함께 더불어 사는 세상에 대한 훌륭한 메시지  인트로에서 부모 세대의 첫 이민부터 시작함으로써 다민적 이민 국가인 미국을 직유한다  악당 한 명 없는 영화라는 점도 칭찬할 만고  그리스 철학에서 세계를 구성하는  원소 불 물 공기 흙  세상을 캐릭터화한 것도 놀랍  극장에서 봤어야 했는데 못내 아쉽다                    왜 남이 정한대로 살아야 해   부모가 이민한 한국계 감독의 자기 이야기  이 영화 때문에 픽사는 엄청난 컴퓨터를 추가해야 했다고  총     만 코어  토이스토리                 고작    코어   몬스터 주식회사                         코어   니모를 찾아서                       코
엘리멘탈,재미와 웃음은 없었고 감동은 있다  초등학교나 중학교에서 학습용으로 쓸듯한 교훈있는 영화  예전에 여성학 교양들을때 보는 영화 델마와 루이스 같은 느낌    초등 학년 아이도 지루했고 어른들도 웃음포인트 거의 없던 영화
엘리멘탈,구름뭉치 따위의  세를 탄생시키는 따분한 결말이었다면 아침드라마만도 못했을 것이다  전통적 가족개념을 설파하더니  결국 그것과 관련된 어떤것도 선택하지 않았다 
엘리멘탈,애니매이션의 탈을 쓴 훌륭한 로맨스물
엘리멘탈,금수저와 흙수저가 만났을때
엘리멘탈,다름을 인정하며 공존을 모색할 때
엘리멘탈,다민족국가에서 노래하는 화합의 메세지   디즈니의 꿈을 현실화시킨 작품  사랑앞에 장애가 되는건 없다 
엘리멘탈,꿈보다 해몽인가  그냥 평범해 보이던데   
엘리멘탈,지루하지 않고 재미있고 감동이예요 
엘리멘탈,이런 놀라운    
엘리멘탈,다르지만 같은 사람  큰절하는거 완전 감동  한국계 감독이라 넣은 요소인듯
엘리멘탈,너무 즐겁고 감동했어여  눈물도 나고 정말 좋은 작품이예요 
엘리멘탈,꼭 보세요
엘리멘탈,재미있었어요   
엘리멘탈,제발 디즈니는 애니만 맍들자
엘리멘탈,미국에 이민 간 멕시코 부부의 딸과 유복한 백인 아들의 차이와 사랑 얘기를 불과 물에 빗대 그려냄  그래픽은 볼 만하고  이야기 자체는 식상한 편이나  인생 자체가 사기 조작인 쥴리와 뒷통수 전문 친일 멧돼지로 구성된 커플보다 이 영화의 커플이 훨씬 바람직하다는 생각이 들었음 
엘리멘탈,엔딩 크래딧 다 올라가면  미국으로 이민간 부모님 사진이 있다 한국계 감독인 손 감독님의 부모님     보는 내내 이건 미국으로 이민 간 한국인 이야기구나 싶더라  불같은 한국인을 보는 듯 했고 아빠를 아슈파라고 부르는거 보고 아  아빠  했다  개인적으로는 불과 물이 합쳐지면 어떤 존재가 될지 그 아이의 모습이  너무너무 궁금해서 끝까지 봤는데 안 나오더라   아마  탄이 나온다면 그 궁금증은 풀리지 않을까 
엘리멘탈,아름다운 캐릭터 움직임을 보고 있으면 그 모든 순간이 힐링 타임이다 
엘리멘탈,내 인생 최고의 픽사영화 
엘리멘탈,마음을 연다면 모두 다 하나로
엘리멘탈,내 인생을 다시금 되돌아보고 잘 살고있는지 생각하게하는 영화  애니지만 이시국에    만 넘기 힘든데  다이유있네요
엘리멘탈,대단한 상상력  기발하다 
엘리멘탈,진짜 명작이다 보는 내내 감탄을하면서 봄 대단  
엘리멘탈,근래 몇년 동안 본 애니메이션 중에 가장 훌륭하다  
엘리멘탈,원소들의 표현이 참 아름답다   어울리지 못할듯 한 표현도 잘 그려낸듯   딸램은 펑펑 울던데    
엘리멘탈,평점조절    점 여주 불  발암케
엘리멘탈,적당히 재미있고 적당한 소재에 적절한 러닝타임
엘리멘탈,공존을 위한 전제는 다름을 이해하는 것이다  라는 주제를 담고 있는 듯하다  물과 불을 의인화했다는 것이 참신하지만 이민가족사에서 러브스토리까지 이어지는 서사는 너무 전형적이다 
엘리멘탈,신선한 내용  한번쯤 생각해 볼 주제  캐릭터들이 좀 더 사랑스러운 이미지였음 더 좋았겠댱
엘리멘탈,불이랑 물이랑 사귄대요 얼레꼴레
엘리멘탈,생략
엘리멘탈,최근 몇년간 나온 픽사 작품들이 대부분 실망스러웠는데 이건 좋네요 
엘리멘탈,너무 나이들어서 감수성이 약해진 것인지는 몰라도     년전의 애니들  토이스토리  미녀와야수  알라딘등 에 비하면 스토리가 많이 빈약한듯      상상력에는 높은 점수를 주지만   시시콜콜한 스토리라인에 전혀 감흥이 없네요  보다가 잤음   
엘리멘탈,기존 디즈니랑은 다르네요  넘 아름답고 상상력 넘치는 영상     진짜 신선했어요  저런 상상을 어찌 했을까 감탄했답니다  우리 막내 영화 마지막쯤 저절로 물개박수 치네요    어른아이 모두 만족했던 아름다운 영화 꼭 보세요  
엘리멘탈,신선한 발상이네요  근데    왜 벤치는 안녹죠 
엘리멘탈,이민자 스토리야 널리고 널렸다  근데 이 영화는 시작부터 이민자들의 견고한 성  현지인을 배척하는 태도  오히려 당당함  뻔뻔함을 보여주는 의도가 뭔가 싶었고 상당히 불쾌했다  아랍계 문구나 아랍언지 스패니쉬인지 발음이나 아슈파라는 단어나 열기구나 딱 보고 현실 이민자 중에 당연히 문제많은 이슬람 쪽 애들을 보여줬다 생각했는데    엔딩 크레딧에 감독과 그의 부모님이름이 한국인이더라  한국인 이민자  세가 만든 영화였던거지   진짜 반전이였다  어떤 문제점을 꼬집는 것도 아니고 겨울왕국처럼 순수 창작스토리도 아니고 분명 감독 자신의 삶을 투영해놓은게 저런 스토리라니   흑어공주만든 디즈니의 애니로 정당화 시키는 방식도 역겨웠고 원소가 물 불만 나오고 나머진 비중도 없는 상상력의 한계가 분명한 개노잼 영화였다
엘리멘탈,어린 동심을 저격할만한 영상미와 귀여운 캐릭터들과 함께 영화속으로 빠져들게 만드는 매력이 있는  
엘리멘탈, 월 일  시   분꺼 봄  내 인생 처음으로 보다가 중간에 나옴  아버지가 딸에게 가게를 물려준다며 간판을 제작하는 그쯤 나옴  정말 지루하고 재미도 없고 주제라고 생각되는건 진부하기 짝이 없고        내 옆자리 엄마하고 딸 와서 보는데 한   분쯤 지났을까 딸이 묻더라  엄마 언제끝나       애니라고 애들 데려가지 마세요      뭔 내용인지 하나도 모를거임      
엘리멘탈,다름의 조화가 절실히 필요할때
엘리멘탈,모든게 아름다웠다   
엘리멘탈,한국적인 정서가 잘 반영이된거 같아요 
엘리멘탈,웅  쨈버리  한국애들은 어딜가나 꼭 티를내지  이민자의 차별이 아픔이 어떻니 맨날 똑같은 소리  백인들 문화나 가치관은 관심도 없으면서 지들 문화 가치관이 소외받네 헛소리나하디  한국애들 흑인들 차별하고 업신여기다가 걸피타면 얻어터지지  애꿏은 백인 괴롭히지말고 니들 맛있는건 니들끼리나 먹어 
엘리멘탈,해외의 이민 세대와  세대를 위한 오마주  틀린것이 아닌 다른 것 
엘리멘탈,만화영화 보다가 울기는  난생 처음임 
엘리멘탈,재미 감동 눈이 즐거운 색 감과 영상 어른도 아이도 함께 즐기기에 최고였다
엘리멘탈,나만 이상한가  스토리가 너무 답답하다  평점이 높아서 기대했지만 실망도 크다 
엘리멘탈,영화를 보기전에 포스터나 리뷰등을 통해  저는 어드밴쳐물이라고 생각했는데 이건 평범한 물과불의 사랑   생각보다는 식상하다는 결론입니다  친구 명은 계속 잠을 잤구요     바람과 흙은 보이지도 않습니다  구름이 바람인가     화려한 애니매이션과 깔끔한 스토리는 좋습니다 
엘리멘탈,너무너무 재미써여    
엘리멘탈,픽사영화 중에 제일 재미있게 본 영화 중 하나네요 또 보고 싶네요
엘리멘탈,서로가 다르더라도 함께 이기에 행복하다
엘리멘탈,아름다운 영화    이런 영화가 더 많아져야  세상이 아름다워질거  같네요  스토리  영상미  아이디어 등등 완벽 
엘리멘탈,아이들과 보기 좋은 영화
엘리멘탈,아이들이 방학이여서 영화 보러 가자고 했는데 엘리멘탈이라는 애니가 있길래 선택지 없이 바로 봤는데 진짜 대박이였어요  아이들도 재밌다고 하고 물과불은 상극인데도 서로 극복하는 사랑 그리고 내안의 꿈을 향해 가는 스토리 마직마 엔딩 장면에서 큰절하는거에서 감동이였음  
엘리멘탈,      
엘리멘탈,괜찮았어요
엘리멘탈,어른이 보기에도 정말 잘만든 애니메이션이네요  강추  역대급
엘리멘탈,강동적이고 물과불이 손을 잡는 장면이 이색저이었다 
엘리멘탈,가족애와 순수하고 풋풋한 사랑을 느낄수 있는영화
엘리멘탈,너무 재미있어서 또 보러 가고 싶은 작품이에요     진짜 역대급이라 강추    
엘리멘탈,감동 그 자체
엘리멘탈,입틀하고 오열하면서 봤다   내겐 코코 이후 최고의 애니메이션 
엘리멘탈,여기는 알바 없는 줄 알았는데   닉네임을 등록해 주세요       이 자슥은 수십번을 올리네  암튼 작품은 좋아요 
엘리멘탈,남들이 하라는대로 다 짜여진 대로만 살면  재미 하니도 없잖아  평점 점
엘리멘탈,소재의 신선함이 좋았습니다 내용은 성인이 예측할 정도로 무난했고요  초등딸이 무척 재미있게 봐서   점 본인     점 딸  해서  점입니다 
엘리멘탈,    
엘리멘탈,진짜 꼭 보세요 그냥 보세요 진짜 스토리 너무 재밌고   전개 및 너무 정말 완벽합니다 보시고나면 후회 안 합니다  
엘리멘탈,어떻게 이런 스토리를    내가 본 영화 에니메이션 중에서 최고였어요 아직 안 보신 분들은   꼭 보셔야 합니다  후회할거에요
엘리멘탈,와    진지한 이야기를 이렇게 재미있게 풀어내다니  만원이 아깝지 않은 영화였습니다  아이들은 웃으면서 보고 저는 많은 생각을 하면서 보는 영화였습니다  영화끝나고 저녁밥 먹으면서 와이프  아이들과 영화에 대한 이야기도 하는 정말 보람있는 영화였습니다
엘리멘탈,학교에서 보러 갔는데 물 불 바람    땅으로 원소로 나뉘어 있는게 좋았고 웨이드는 남자지만 울수있다는 편견과 엠버는 여자고 용감할수있다  라는 편견이 제 마음속에 이미 없었지만 버려졌고   물과 불은 둘 중에 하나가 증발해서 사라지거나 불이 꺼지는데 서로 만날 수 있어서 특별했어요   게다가 마지막에 웨이드가 살아날 수 있어서 좋았어요   제가 좋아하는 로맨스였고 영어와 도덕이란    과목도 같이 들어가 더욱 좋았어요 
엘리멘탈,감탄 그저 감탄
엘리멘탈,고딩아들이랑 봤는데 난 중간에 살짝 지루했음 그러다 점점 재밌어지더라 음악도 좋고 아들도 재밌었다고 내용도 유익하고 선택잘한거같아 나름뿌듯
엘리멘탈,잔잔한 감동과 울림이 있습니다  보다가 눈물이 쪼끔 나왔는데 참았어요   애니메이션  컬러감도 훌륭합니다  안 보신분들 꼭 보세요 
엘리멘탈,역대급 픽사영화임  꼭보세요  강추드립니다 
엘리멘탈,살면서 영화를 보고 처음 울어봤다
엘리멘탈,남자주인공 너무 멋지고 내꿈은 가게가 아니라 너라고 하는 아버지 너무 멋지다 
엘리멘탈, 저 버럭하는 성질하며     좋은거 티 안내려고 하는것이며    남자에게 끌려다니지 않는 저  장녀의 고군분투기 
엘리멘탈,글로 표현하기 어려운 자유롭고도 창조적인 상상의 세계  우리도 이런 기발한 상상의 세계를 그려낼 수 있을까  감탄스럽다  
엘리멘탈,음악은 약간 제 세계느낌인데 다양성 소수 이민자를 위한 장치로 보임  다른 가르치려드는 영화와다르게 완성도는 높았음  영상은 괜찮음  영상미가 뛰어낟기보다는 아기자기함  표현은 뛰어나고 기발함 물 불 공기 나무들이 각자 자신의 힘을 다양하게 사용하는 모습을 부여줌 이부분이 이 영화의 장점임 엘레멘탈들의 다양한 모습이 이민자 중심사회의 다양성이 가져올 모습과 연상되도록 신경쓴것처럼 보임  스토리는 평범함 스토리에서 주토피아 이상을 보여주지는 못함
엘리멘탈,야무짐
엘리멘탈,디즈니영화 가족애가 빠질수없고 도전 용기 희망 불가능을 가능케 하는 불굴의 의지  반전도 빠질 수 없고  별 기대없이 봤는데 소재와 스토리흐름  몰입도 최고  
엘리멘탈,최고의 영화
엘리멘탈,이러한 영화를 만들어주셔서 그냥 너무 감사합니다 고맙습니다
엘리멘탈,역시 픽사다     점 주는 놈들은 영화는 보고 평점 다는건지 참            댓글 알바 이러네    
엘리멘탈,유쾌하고  예쁜  작품  
엘리멘탈,색감도 화려해 눈이 지겹지 않고  기승전결 이 아름다워서 어린이 가족끼리 보기에 좋은 영화 
엘리멘탈,최고 
엘리멘탈,아이들과 같이 아무 생각없이 들어갔다가 생각이 많아져서 나온 영화  다 담았는데 너무 자연스럽게 표현이 되었음   픽사가 픽사했다 
엘리멘탈,디슈크
엘리멘탈,원소들을 표현하는 그래픽 자체는 훌륭하지만  불과 물에 비해 현저히 적은 흙과 공기원소의 비중과 급작스러운 스토리 전개가 꽤나 불만족  특히  엠버와 웨이드의 관계  엠버 아버지의 가게를 물려받는 일이 맞물릴 때 따라가기 힘들정도로 엠버의 감정선이 확확 바뀌는 점이 없지않아 있어보임  사건과 사건 사이의 연결이 좀 더 부드럽게 이어갔으면 좋겠음 
엘리멘탈, 
엘리멘탈,리쇽
엘리멘탈,전형적인 한국 신파  그냥 초등학생 단체관람용
엘리멘탈,뚜렸한 두개의 갈등과 해결 그리고 눈이 즐거운 그래픽효과와 연출 하지만 다소 억지스러운 전개와 조울증이 의심 될 정도로 불가족들의 극단적으로 변하는 태도는 보는 사람을  당황스럽게 하고 몇몇 인물들의 지능수준이 궁금한 심각한 안전불감증은 뻔한 위기와 예상되는 해결을 제공한다  그리고 남자주인공 캐릭터가 과하게 너드남 행동을 해서  참   불상해보일 정도   즉 매력이 없다 
엘리멘탈,아니 이게 왜    이야
엘리멘탈,애들이나 보는거지 하고 안보다가 시간도 남고 예매율도 제법 높길래 봤더니 재마가 조으네
엘리멘탈,픽사의 상상력과 피터 손감독의 부모에 대한 러브레터가 통했다
엘리멘탈,아이들과 함께 보기에 정말 유익한 영화입니다  감동과 재미 그리고 생각할 꺼리들까지   꼭 함께 보시고 이야기 나누세요 
엘리멘탈,오랜만에 따뜻하고 영상미 좋은 가족영화를 즐겼습니다 
엘리멘탈,초  아들이랑 봤는데 아들이  눈물까지 흘리며 즐겁게 보드라구요   아들이랑 즐겁게 관람했습니다  
엘리멘탈,타이타닉 만큼 울었던 인생작  
엘리멘탈,이민자들이 겪었을 애환에도 감동이 있었지만 한국에서  나고 자라며 가족을 위한 부모의 고된 노동과 희생적 사랑을 경험한 이들에게도 공감대가 컸을 것 같다  어린 아들들과 관람했지만 어른인 나만 눈이 벌게 져버리고 말았다 
엘리멘탈,잼있음
엘리멘탈,이거 왜 평점이    밖에안되지   너무 박하네 사람들
엘리멘탈,주토피아나 인사이드 아웃처럼 감동적이고 신나고 재미있는걸 기대했는데 솔직히 약간 구렸다  못만든건 아닌데 주토피아나 인사이드아웃처럼 스마트한 느낌이 아니라 고리타분한 느낌 역시 유교적 사고를 못벗어난 티가 나는지  
엘리멘탈,최고로 재미있습니다 꼭 영화관에서 봐야합니다 속는셈 치고 한번 꼭 보십시오 후회하지 않습니다 정말로
엘리멘탈,가서 보시면 알거에요  모두가 왜 이 영화를 극찬하는지  
엘리멘탈,방금 봤는데 뭐 재미는 있었는데 난 대박이라는 생각은 안 들더라 조금 잔잔하다 
엘리멘탈,북미에서 왜 흥행에 실패했는지 알겠다    내용도 밋밋하고 임팩트도 없고 이걸 재밌다고    
엘리멘탈,재미있는 상상력에  감탄을 하고 봤습니다    아이들이 보면  좋아할꺼 같습니다  
엘리멘탈,진짜 추천합니다   물과 불의 조합이 새롭고     굉장히 심금을 울리네요 후반에 눈물 줄줄    
엘리멘탈,재미있어요
엘리멘탈,     유치원생을 위한 애니  정상적인 어른들 보기 힘듬 
엘리멘탈,표현력이 진짜 미쳤다
엘리멘탈,화려한 영상미와 독창적인 내용전개
엘리멘탈,물과 불   성질은 다르지만 서로 사랑에 성공한다는게 감동적이였어요 재밌었습니다   자막으로 봤는데 더빙으로 한 번 더 보고싶어요     
엘리멘탈,디즈니는 제발 이상한거 그만 만들고 이런것들좀 만들어라
엘리멘탈,그냥 한마디만 할게요 제 인생영화 입니다 
엘리멘탈,어떻게 이런 아이디어로 된 영화가 틴생했을까  제작진분들 천재만재  진짜 참신하다  원소를 이용해서 사랑은 모든 것을 극복한다는 걸 표현하다니        
엘리멘탈,내용도좋고  그림도 표현을 잘했고 보는내내  재밌었음      
엘리멘탈,예고편을 보고 안볼수 없었다  감동포인트도 너무 많고 마지막엔 눈물까지  
엘리멘탈,진짜 판타지세계를 아름답게 구현해서 눈이 황홀함  넘나 재밌게 봄
엘리멘탈,의미도 있었고 감동도 있었으며 시각적으로도 청각적으로도 좋았습니다  최근 본 영화 중 젤 나았던듯  
엘리멘탈,스토리는 어디서 본듯한 이야기 이지만  모든게 새롭고 이쁘고 서로 다른 사랑 원소로 물과 불 이야기 참 새로웠네요
엘리멘탈,이민자들의 삺 비주류에 대한 생각을 해보았습니다
엘리멘탈,오늘 보고 왔는데 처음엔 지루한데 점점 빠져 들어감  
엘리멘탈,졸았어요
엘리멘탈,나오는 도시도 어디서 본듯 스토리도 어디서 본듯 케릭터도 어디서 본듯  십년전 영화를 보는듯한 식상함   믿고보눈픽사였는데 
엘리멘탈,물 불  두사랑 역대급 영화입니다  아주 재미있습니다 
엘리멘탈,나만 펑펑운거 아니죠 
엘리멘탈,너무 재미있고  감동적이었어요 
엘리멘탈,최고였음  감동적인 영화 마지막에 절하는거  왠지  낯설지않아
엘리멘탈,너무너무 감동적이고 재밌어요      
엘리멘탈,감동적이네요  추천할 만한 내용  음악  상상력  잘 만들었어요 진짜
엘리멘탈,댓글알바 오진다  픽사 최악의 망작    연출이 아마추어   대체 뭔소린지  유머는 실종되고  감동은 한숨만    디즈니가 앙쪼가 들었다     점은  조의다 
엘리멘탈,꿀잼
엘리멘탈,꿈과 가족에대한 고찰   풍부한 색채   창의성의 기막힘  끝내주는 주제곡  우리초딩딸들 인사이드아웃보다 더잼나대요  저는 주제곡에 꽃히고    
엘리멘탈,평점이 왜 좋은지 알겠네요   영화 잘 봤습니다 
