title,review
신비한 동물들과 덤블도어의 비밀,이영화 강추다
신비한 동물들과 덤블도어의 비밀,해리포터 약간의 덕후라   한명한명 인물들 얘기가 잼잇엇는데  평점이 낮아서 슬프네요    정치는 하나의 배경인디   뜬금없이 에디가 행동모방  하는 장면도 너무 웃겻고    이름이 생각이 안나는디 그 둘이 다시 행복하게 이어진것도 좋구요  저는 잼잇게 봣답니다 
신비한 동물들과 덤블도어의 비밀,화려한 환타지적인 영상 보는 맛은 있다
신비한 동물들과 덤블도어의 비밀,  시대를 위한 제물에 불과한 영화 최악의 시리즈
신비한 동물들과 덤블도어의 비밀,생각보다 화려하진 않았지만 그냥저냥 볼만함  
신비한 동물들과 덤블도어의 비밀,마지막에  그 동물 이 왜 중요한지 알았다는   초반을 대충 봐서 그런가   가벼운 마음으로 보기 적당   
신비한 동물들과 덤블도어의 비밀,영화 보다보다 어느순간부턴가 스마트폰으로 딴짓하게 만드는 마법영화 역시 마법영화
신비한 동물들과 덤블도어의 비밀,전편들에 비해선 확연히 좋아짐      정치얘기나온다고 욕하는 사람들은 그린델왈드나 볼드모트를 그냥 단순히 살인자로만 보는 사람들    살인과 지배를 정당화하기위한 순혈주의  반머글  힘에 의한 지배 그리고 그에 맞서는 사람들  모두 마법세계의 이데올로기  정의를 둔 전쟁이기에 정치는 필연적으로 따라나옴  그리고 롤링은 영화를 통해 우리에게 메시지를 던지고싶은 욕망이 매우 큰듯  그렇게 잘전해지지는 않고있지만      어찌됐든 전작들보다는 훨씬 나았음 
신비한 동물들과 덤블도어의 비밀,지루한 전개에 졸려서 간신히 봤다 
신비한 동물들과 덤블도어의 비밀,전체적으로 재미있게 봤지만 뭔가     부족한 느낌
신비한 동물들과 덤블도어의 비밀,기대 안하고 봣더니 볼만함
신비한 동물들과 덤블도어의 비밀,솔직히 신동사 시리즈 중에 가장 지루했음  판타지 액션 영화 왕팬인데  신동사 보면서 졸을 줄은     스토리면도 부족하고  볼거리도 부족하고  유머도 부족하고  런닝타임만 길었음   조니뎁이 나왔으면 그래도 좀 더 나았을 것을    
신비한 동물들과 덤블도어의 비밀,영화 속 미장센 구경하는 재미가 쏠쏠했습니다   그리고    를 통해 볼 수 있는  과하지 않고 은은하게 화면을 밝혀주는 광원 효과도 적절하니 좋더군요   개인적 사정으로 출연을 고사한    조니뎁의 부제는  옥의 티가 될 것 같네요 
신비한 동물들과 덤블도어의 비밀,작대기 하 나 들고 뭐하는 건지   극장에서 밨으면 호구될뻔 했네
신비한 동물들과 덤블도어의 비밀,점점 망해가는 시리즈의 전형
신비한 동물들과 덤블도어의 비밀,시리즈의 대한 의리로 봤다  이제 그만 만들자
신비한 동물들과 덤블도어의 비밀,지루했다  게이컨셉은 또 뭐냐  쓸데없이 흑인들도 많이 나옴    일단 재미가 없다  그냥 총들고 권력싸움하는 영화랑 다를게 없었다  다만 지팡이로 총놀이를 할뿐    도대체 그 뚱뚱한 머글은 왜지꾸 데리고 다니냐 
신비한 동물들과 덤블도어의 비밀,지루함 하지 말았어야 할 시리즈
신비한 동물들과 덤블도어의 비밀, 편은    편보다 조금 쓸쓸한 면이 있었지만 그래도     하게 봤던거같습니다 신동시    다음 편은 어떻게 될지 궁금하네요  
신비한 동물들과 덤블도어의 비밀,너무 간만의 시리즈라 과거 얘기가 하나도 기억 안난다
신비한 동물들과 덤블도어의 비밀,재밋당 
신비한 동물들과 덤블도어의 비밀,웅장한  액션이 많지 않아 좀 아쉬웠어요    
신비한 동물들과 덤블도어의 비밀,재미도없는데 길긴또 디개길어
신비한 동물들과 덤블도어의 비밀,그냥 정으로 보는 거지 뭐  매력덩어리     코왈스키 
신비한 동물들과 덤블도어의 비밀,짱나
신비한 동물들과 덤블도어의 비밀,다소 긴 러닝 타임 과  볼거리 부족은  루즈함을  남긴다
신비한 동물들과 덤블도어의 비밀,어제 보았는데 잼잇게 보앗습니다  아기 기린 한마리 죽인것이   너무 슬펏네요 영화는 유치하지 않아서 좋앗어요
신비한 동물들과 덤블도어의 비밀,전작 두편이 지루한데 반해 이번은 그나마 깔끔하다 
신비한 동물들과 덤블도어의 비밀,재미에 비해 평점 낮네요
신비한 동물들과 덤블도어의 비밀,   
신비한 동물들과 덤블도어의 비밀,시리즈가 갈수록 짱개화 되어 가는지       
신비한 동물들과 덤블도어의 비밀, 위에 군림하려는  의 식민지와 다르게 해피엔딩  
신비한 동물들과 덤블도어의 비밀,생략
신비한 동물들과 덤블도어의 비밀,난 되게 재미있게 봤는데 평점 왜이러지      이게 재미없으면 해리포터는 어떻게 봤다는건지 참        마지막 장면들은 참 낭만적이었고  겨울에 개봉했다면 더 좋았을거라 생각함 
신비한 동물들과 덤블도어의 비밀,   
