title,review
블랙 아담,이정도면 최고  
블랙 아담,누구도 막을 수 없다 
블랙 아담,이영화 강추다
블랙 아담,주인공이 너무 무적인것 빼고 그냥 저냥 볼만함 요즘 망한 마블 영화 보다 액션은 더 나음
블랙 아담,그냥 다양한 케릭터와 액션으로 보는거지 뭐 
블랙 아담,지루하지는 않고 볼만한 정도 스토리가 빈약하다
블랙 아담,일단 어설프게 만든 영화는 아닙니다  문법에 맞게 딱떨어지는 영화에요  아쿠아멘 이후로 디씨쪽 캐릭터를 잘 몰랐는데 뭔가 뭉치는 분위긴가보네요  캐릭터도 좀더 알아보고 순서대로 디씨영화를 보고싶어지네요  농담 아니고 최근 나온 마블영화들보단 훨씬 좋습니다 
블랙 아담, 
블랙 아담,차라리 나이대 올리고 더 어둡게 만드는게 나았을뻔했다   캐릭터는 너무 멋졌는데 분위기가 애들 분위기다 
블랙 아담,스토리도 기본은 했고 액션은 끝내줬고    의 등장도 좋았다 
블랙 아담,스토리 과몰입하게 만드는 능력이  많이 아쉽지만 그래도 볼거리 꽤 괜찮았고 오히려 마지막 쿠키 한 컷이 최고의 명장면인 듯  
블랙 아담,굿
블랙 아담,나름 만족하면서 봤음  근데 진짜 나중에 지옥군단인지 뭔지 웃겨 죽는줄      스피디하면서 볼거리는 풍부함  그리고 아톰인가 그 남자애는 왜 나온거임   웃길라고 나온건가  
블랙 아담,     디씨라    이미너무 실망한게 많지만 그래도 참고 봤다  일단 샤잠보다는 낫다  그나마 정말 그나마 디씨 영화들중에는 괜찮았을지도  근데 이제 어쩌냐 디씨는 리부튼데
블랙 아담,  는 원래 안 좋아하는데 이건 의외로 좋다 
블랙 아담,화려한 영상 대비 스토리와 개연성이 너무 떨어짐  디씨는 마블을 이길 수 없는 것 같음 
블랙 아담, 악마군단 뭐냐  여자한테 까이다 못해 잼민이 몽둥이질에도 나가떨어지네 잼민이가 군중심리 유발시키는 장면도 어이가 없고      년전이야 배운게 없어 잼민이 말이 먹혀다 할수 있지만  진짜 손발이 오그라드네 디씨 진짜 왜그러냐   액션빼면      년대 반공영화 같네
블랙 아담,  가 이제서야 제정신 차리고 즐길수 있는 히어로물을 만들었네 그놈의 잭스나이더  히어로물을 예술이니 철학이니 어둡고 거부감 들게 만들어놓더니 히어로물은 말그대로 누구나 즐길수 있는 영화여야됨
블랙 아담,  
블랙 아담,그냥 평범한 히어로물 아담 악역으로 변해서 지구 다 때려부수고 히어로들 다 죽었으면
블랙 아담,우당탕거리기는 하는데 다소 평범한 느낌이다
블랙 아담,마블에 대한   의 어벤저스급 반격이자 그 답신의 시작
블랙 아담,슈퍼맨급이라 생각했는데 결국은 슈퍼맨이 나오네  히어로의 죽음과 스토리는 산만하고 아쉬웠지만  추후 나올 시리즈를 기대해 봅니다 
블랙 아담,마블 독주체제에서 이정도면 나쁘지 않았다고 본다 안망하고 영화 계속 많이 만들어주면 좋겠다 심심하다
블랙 아담,초능력자들  명 나오는데도 케릭터 활용을 제대로 못해서 어린 케릭터들은 없느니만 못함  이야기의 당위성도 별로 공감을 못하고 액션도 그냥 때려부수는 것뿐 
블랙 아담,전부 다 어디서 봤던 거 같은  더 락  나오는 히어로 무비
블랙 아담,다들 지들 기준대로 내로남불식으로 사는 와중에 최고봉은 엄마랑 아들이 아주 쌍으로 발암이여
블랙 아담,디씨와 마블은 서로의 거울이다  서로 모방한 캐릭터로 유니버스를 구축해가기 때문이다  이번엔 와칸다대신 칸다크이며 어벤져스 대신 저스티스 소사이어티다  슈퍼맨에 재미를 못 본 디씨의 선택은 아쿠아맨의 몸집에 배트맨의 고뇌  슈퍼맨의 능력  제우스의 번개까지 가진 괴물을 탄생시켰다  샤잠이란 주문을 외우고 테스 아담이라 불리지만  실상은 블랙 아담인 드웨인 존슨의 등장이다  허나 영화가 끝날 때가 되어서야 블랙 아담이란 이름을 들을 수 있을 정도로 서사가 엉망이다  주인공의 이름을 외치며 새로운 영웅의 탄생을 외쳐야 하지만  영화는 내내 호크맨인지 황금박쥐인지만 보여주다 황금가면을 퇴장시키며 끝을 맺는다  완성도는 마블보다 못하지만  그래도 돌아온 블랙팬서의 빈약한 캐릭터보다는 블랙아담의 손을 들고 싶다 
블랙 아담,액션은  볼만하다  쿠키도  좋음 
블랙 아담,너무 유치하다  나는 분명   영화는 보는데 마블보는 느낌이었다  확실히 샤잠 시리지는 너무 유치하다
블랙 아담,배우의 과도한 근육을 역할을 위해 특수효과로 줄여야 했던     디씨에 많은것을 기대하지는 않고 그저 슈퍼맨  샤잠  블랙아담   덩어리가 한 화면에서  날뛰는걸 보는 날은 꼭 오기를  
블랙 아담,정말   는 역대급 근데 캐리터 빌드업은 엉망
블랙 아담,손발이 오글거림에 죽을뻔   비싼 아이들영화    또다른 샤잠이었네  젠장
블랙 아담,짧은 시간에 너무 많은 사연을 담으려 한 게 문제 
