title,review
더 배트맨,배트맨은 뭐랄까    영화가 재미있는게 아니라 영상이 신기해서 봄 흠      는 분발해야함    수퍼맨 빼고 볼게 없음
더 배트맨,수많은 배트맨 시리즈들    재밌게 본게 단 한편도 없음  시리즈가 많으면서 지루함의 대명사가 배트맨임  이렇게 재미가 없는데 왜 영화 시리즈로 계속 만드는 거임  골수 팬들 덕에 적자는 안나서 계속 만드는 거임 
더 배트맨,배트맨 찐팬이라면 강추  그외 액숀팬이라면 패스   웨인 아빠의 과거진실 대중과 고담인은 관심도 없는데 무슨 대단한 비리인거처럼 꾸며놓고   추악한 진실을 알았을때  선악을 갈등하는 어둔 영웅의 현명한 선택  어때 죽이지  이러는거 이젠 식상함 근데 이걸 흥미있게 풀지도 못하고 오히려 짜증나게 연출했음   퍼즐푸는것처럼 해놨지만 그냥 일방적으로 따라감  아무것도 트릭을 풀지 못하고 뒤만 쫒아댕기다가 주먹질함   사운드가 바닥을 기는듯한 중저음도배   겁나느린템포의 화면  슬로우건듯한후까시   노브레인 배트맨   노화력 배트맨   빈약한 액숀   지루한스토리   깜깜한 화면
더 배트맨,어둡고 암울한 고담시티와 배트맨의 뉘앙스를 잘 담았다  반복적으로 흐르는 너바나 커트 코베인의                       는 영화   로 적격 우울했던 한때 자주 기타치며 불렀던 곡     연속 드라마를 보는 듯 진득한 스토리텔링과 긴 플레잉타임  두 편으로 나누지 좀 말았으면     난 평생 투명인간이었어  이젠 내가 보이겠지  모두 날 기억할 거야   폴 다노가 연기한 악역 리들러는 일베에 절여진 일부   남들을 떠올린다  리들러가 폭파테러와 함께 무기를 가지고 모이라고 선동해 모인 장면은 최근 부쩍 늘어난 역 앞 등 공공장소에서의 칼부림이 겹쳐 오싹했다 
더 배트맨,아니 평점 왜 낮아
더 배트맨,배트맨의 음울한 느낌이 역대급 배트맨이었고 배트모빌 도 레트로 느낌이 진짜 멋있었음   팔에 화살끼고 기냥 몸 으로 싸우는 아직 조금은 어설픈 초창기 배트맨의 모습이 더 공감   볼때마다 느낌이 달라서 결국은 소장   막 재밌고 그런건 아닌데 이상하게 땡김   매력있는 영화 
더 배트맨,음울한 분위기를 너무 잘 살려서 너무 좋았습니다  마블의 어줍짢은 농담따먹기에 질린분이라면 강추  특히 원작에서 비중이 적었던 수수께끼 리들러가 나와서 참 반가웠습니다   좀 더 인간적인 면이 부각된 배트맨을 원한다면 꼭 보세요
더 배트맨,부패 공직자들 처단하는 빌런으로 이전 시리즈와는 뭔가 다른 스타일   역시 조커 없으니 심심하네  악당들은 왜 배트맨 얼굴에 총을 쏘지 않냐    
더 배트맨,어두운 과거를 가진 배트맨의 어두운 활동
더 배트맨,최첨단장비로 무장하고  다때려부수는  눈요기거리  가득한 액션영화를 기대했다면  보지 마시길     그 어떤 배트맨영화중    코믹스의 배트맨을 가장 잘 표현한 영화라 생각함   
더 배트맨,   
더 배트맨,모든게 놀란 때문이다   히어로물을 예술로 승화시켜서 어설프게 따라하고 생각만 많이하다 망해버린 것   스토리  개연성      전부 실망  단지 배우들의 열연은 칭찬해주고 싶다   배트맨 시리즈의 팬으로서 너무 그들만의 예술영화화 되는 것은 반대한다 
더 배트맨,최악  리들러에 대한 해석말고는 의도도 없는데 재해석이라는 프레임만 가지고  촬영감독만 쥐어짠 느낌  더불어 시대착오적인 감독의 여성상에  대한  감상만 캣우먼에게 다 덮은 최악의 영화
더 배트맨,고뇌하는 배트맨    는 기필코 극장에서      
더 배트맨,뱃신이 아닌  한 탐정 자경단의 성장기
더 배트맨,루즈하네    다크나이트 외엔 자꾸 왜 만드는지 몰라   
더 배트맨,덜 나쁜 놈이 더 나쁜 놈을 잡는 수 밖에 
더 배트맨,영상미는 있는데 좀 음울한 분위기로 재미가 있는 편은 아니다
더 배트맨,진짜 다크나이트  부작 다음으로 재밌습니다  시간   분이라는 러닝타임이 길게 느껴지지도 않았어요
