title,review
가디언즈 오브 갤럭시: Volume 3,진짜 좋다  스토리 좋고 재미있으면서도 생각하게 만드는 영화였다  가오갤 시리즈 중 최고 인듯 
가디언즈 오브 갤럭시: Volume 3,깊이 있는 가벼움  그리고 로켓 
가디언즈 오브 갤럭시: Volume 3,너무 재밌게 봤어요   영화관에서 봤으면 더재밌었을거같아요   음악이랑 감동이    마지막 액션도 넘멋있고    내스타일영화  감동그자체였어요
가디언즈 오브 갤럭시: Volume 3,마블의 마지막 희망답게 결말도 깔끔하고 진짜 재미있게 봄 아쉬운점을 굳이 뽑자면 하이 에불루셔너리가 조금만 더 강했으면 어떨까 싶음 이거  점 주는 놈들은 영화는 제대로 본건지 참       댓글  알바 이러네   
가디언즈 오브 갤럭시: Volume 3,엔드게임 이후 최고의 마블 영화
가디언즈 오브 갤럭시: Volume 3,슬픔   감동   안녕 안녕
가디언즈 오브 갤럭시: Volume 3,예전에 비해 어둡고 잔혹하다
가디언즈 오브 갤럭시: Volume 3,적당히 시리즈를 마무리한 영화
가디언즈 오브 갤럭시: Volume 3,마블이 다 무너져도 이건 살아있네요  어쭙지않은 멀티버스 때려치고 가디언즈가 어떻게 가고있는지를 좀 보고 느껴라 
가디언즈 오브 갤럭시: Volume 3,완벽한 피날레 장식  모든 장르가 다 섞여있었다 
가디언즈 오브 갤럭시: Volume 3,어라 나 어째서 눈물이 
가디언즈 오브 갤럭시: Volume 3,악당은 별거 없는데    주제는 시리즈 중 제일 괜찮은 거 같다    이제 보내줄 때가 됐다 
가디언즈 오브 갤럭시: Volume 3,또 볼수있을까  감동과 재미가 모두 존재하는 시리즈  
가디언즈 오브 갤럭시: Volume 3,마블영화 보면서 처음으로 눈물을 흘려봄  
가디언즈 오브 갤럭시: Volume 3,두말이 필요없다  일단 보고 말해라
가디언즈 오브 갤럭시: Volume 3,작별이라 믿고 싶지 않다
가디언즈 오브 갤럭시: Volume 3,초 반부는  살짝 지루해서 살짝 쉬어가는 시리즈의 작품이 아니었나 싶네요  그래도 후 반부는 특유의 가디언즈의 활약이 있어서 좋았어요  
가디언즈 오브 갤럭시: Volume 3,마블이아니라 제임스건이라 가능한 영화
가디언즈 오브 갤럭시: Volume 3,동물의우정보고울어야허나 이런너구리
가디언즈 오브 갤럭시: Volume 3,현대 사회에서 우리는 무엇을 좇고 있는가  잃어버린 다양성  서로에게 정답을 강요하는 사회 속에서 우린 우월성을 추구하는 것이 아닌 각 생명의 존재에 경의를 표하는 자세가 필요할 듯하다   개인적으로 엔딩의 잔치 씬은 이유 모를 불안과 조급함을 덜어내주는 위안이었다 
가디언즈 오브 갤럭시: Volume 3, 
가디언즈 오브 갤럭시: Volume 3,마블에서 가장 사랑하는 시리즈 무엇하나 빠지는게 없다
가디언즈 오브 갤럭시: Volume 3,역시 재미있게 볼만하다
