title,review
헌트,그냥 늘 그런 주제라 당기지가 않아 요새 티비에 자주 나와도 안보다가  어제 후반부 이삼십분 정도 보게됐는데  몰입감 좋네요  처음부터 보고싶은 맘생김
헌트,좌빨
헌트, 
헌트,와우 이정재의 완벽한 감독 데뷔작품 화려한 등장 손색없는 작품 놀랍다
헌트,여기 수구  꼴통들도 오네  
헌트,와  진짜 이런 영화  또 다시 나올 수 있을까
헌트,간만에 재미있는 한국영화    진짜 제거하고 싶고  북한은 평화통일 절대 생각이 없는 집단
헌트,친일청산 못한죗값을   세기에 치루고 있는거같다 
헌트,숨죽이고 봤습니다  이정재감독 대단하네요
헌트,듀 번째 봤는데 오 수작입니다   한 번 더 봐얄것 같습니다  볼 때마다 더 많은 감동을 줄 것 같으네요 
헌트,종북주사파 정우성 와 간첩 이정재 의 환장콜라보                                          
헌트,깔끔  담백 군더더기 없는 영화 
헌트,근래에 본 영화 중 최고였다 이정재 다시보게 됨
헌트,전두환 죽였어야지 간첩이 왜 다를 나라 신경써    전두환    지옥에서도 영원히 고통스럽길
헌트,이정재  완전 다시보게됨 이렇게 군더더기 없이 깔끔한  수작영화를 만들다니  앞으로 많은작품 기대 합니다  와우   
헌트,복잡하게 얽힌 근현대사를 깔끔하고 묵직하게 담아내다  이 영화는 같은 시기를 다룬 택시운전사      과는 좀 다릅니다  실화와 픽션을 서로 조합하고  액션 장면을 좀 많이 첨가하였죠  물론 허투루 만들어진 것은 아니고  마이클 만의 히트가 연상될 정도로 잘 만들어진 도쿄 시가전 등 각종 훌륭한 퀄리티의 총격전이 있습니다  우리에게 남겨주는 메세지가 분명하고  수미상관에 가까운 먼지구름 연출이나 노골적일 정도로 드러나는 안기부의 추악함 등 눈여겨볼 만한 곳이 많습니다  자주 진행되는 인물의 얼굴 클로즈업 샷  훌륭한 연출과 더불어 긴장감을 끝까지 거의 떨어뜨리지 않기 때문에 피로해질 수는 있으나 오히려 저는 몰입감이 지속되었습니다  이정재의 차기작이 크게 기대되는 영화였습니다  다만 사운드가 좀 작네요 
헌트, 번째 보고 있지만 볼만 합니다    이런류의 영화는 항상 볼만합니다
헌트,   
헌트,여기 윤석렬 제거 어쩌고 하는글 올린놈들 잡아 족치면 간첩 몇놈 나오지 않갔어 
헌트,마  이기 영화지 기존 감독들 마  보고 배워라
헌트,그래도 그놈은 죽였어야지 
헌트, 
헌트,군더더기 없는 완성도 높은 액션에는 박수를  하지만 너무 복잡하게 엮어놓은 첩보 시나리오는 보는이의 몰입을 방해하는 요소가 된 듯 싶다  이왕 가상이라면 근 미래를 배경으로 지난 역사와 대비되는 시나리오였다면 훨씬 박수 받지 않았을까 생각된다  어찌되었던 기대보다는 나은 작품이었다 
헌트,무거운 내용인데 재밌고  한번쯤 정우성과 이정재의 방향에대해 고민해 봤을법한 내용있는 영화라 생각합니다 
헌트,다른 방향이지만 같은 목적을 가지고 있는 두 주인공의 긴장감 넘치는 갈등 전개
헌트,오   괜찮은데  잠시라도 긴장을 늦을수가 없음  이정재 정우성  태양은 없다 이후 반전된 케미  첫감독 데뷔인데 흠잡을 곳이 없네요 앞으로의 차기작이 기대됩니다
헌트,살리느냐 죽이느냐 그것이 문제
