title,review
대외비,그냥저냥
대외비,좋아하는 배우들만 나오고    그럴 듯한 요소란 요소들은 다 들어가 있는데   먼가 긴장감도 없고 재미도 없이 맹맹하게 끝나버린 참 신기한 영화
대외비,명품 스토리  명품 영상인 것은 맞는데 대사를     밖에 못알아 듣겠음  부산 사람 아니면     대사를 알아들을 수 없는 것이 큰 흠  차라리 밑에 자막을 넣어주세요
대외비, 점테러 뇌 없는   들 평점 남기지마
대외비,꽤 잘 만든 영화네요  짜임새도 좋고  끝날 때 까지 긴장을 놓지 않게 만드네요  재밌습니다
대외비,잼있음
대외비,천하제일 연기대회 배우들 라인업을 보면 조진웅  이성민  김무열  원현준  다 연기 잘하는 분들입니다  연기 면에서는 조금도 깔 것이 없습니다  영화의 흐름도 초반은 좋습니다  깨끗해 보이는 조진웅이 어떻게 해서 갑자기 청부살인  폭행을 저지르는지는 의문이지만 말입니다  그래도 계속해서 긴장감이 쌓이지만  이 영화는 터뜨리는 데에서 크게 실패했습니다  결말은 꽤 흥미로운 배드엔딩으로 끝이 나지만  이 엔딩이 의미하는 바도 전 모르겠습니다  임팩트는 크나  씁쓸하기보다는 나쁜 의미로 뒤통수를 얻어맞은 느낌입니다  수위도   세에 맞지 않게 성매매  살인 등 중범죄가 타 영화들에 비해 노골적으로 표현되어 있습니다  굳이 이렇게 직접적 표현을 써야 했나요  영화관에서 비싼 돈 주고 보기에는 크게 부담스러운 영화
대외비,그렇다고 영혼은 팔지말자 
대외비,   
대외비,윤석열 뜨끔했을듯
대외비,역시 조진웅 연기는 진짜 알아줘야겠네요  본인이 액션을 하지 않아도 영화 속 분위기를 눈빛과 표정으로도 하드케리 하네 진짜 제목을 누가 지었는지 영 안 어울림  제목 지은 사람이 빌런임  차라리 그냥 악인전 라고 했으면 더 좋을 뻔 조진웅의 긴박한 표정  이성민의 비열한 눈빛  김무열의 쌩 건달 눈빛    누구 하나 믿을 수 없는 악당들의 속고 속이는 반전에 반전을 거듭한 이야기  진짜 더러운 정치판의 이야기를 잘 그려낸 듯 함  정치느와르라는 새로운 장르를 연 작품이라고 봐도 무방하지 싶다  느와르의 기본을 잘 따른 아주 잘 만들어진 종합선물세트 같음  역시 믿고 보는 감독   다 쓰고 보니 마치 댓글 알바가 쓴 거 같네       진짜 재미있음 
대외비,반전에 반전     역시 정치하는 놈들은 악마네
대외비,볼만     요
대외비,대본도 좋고 영화 잘 뽑았습니다  재미도 있습니다  추천합니다 
