title,review
더 퍼스트 슬램덩크,몰입될만 하면 갑자기 과거로 돌아가서 긴장감 풀어버리는 특이한 능력을 가진 애니  마지막에 강백호  서태웅  채치수  정대만은 사라지고 송태웅이 엔딩찍고 끝나는 거 실화냐   딱 중년층들이 향수에 젖어서 좋아할 만한 내용이더라 
더 퍼스트 슬램덩크, 
더 퍼스트 슬램덩크,기대보다 별로
더 퍼스트 슬램덩크,중간 중간 대사가 사라지고  경기만 나와 재미가 반감됨 
더 퍼스트 슬램덩크, 
더 퍼스트 슬램덩크,소문난 잔치에 먹을 거 없네  송태섭 비하인드 스토리는 늘어지고 맥빠지게 만든다  그냥 원작 그대로 살렸으면 좋았을 것을   
더 퍼스트 슬램덩크,나이가 들어 그런지 어릴적 감동은 반감되었지만 과거의 기억 소환으로 만족
더 퍼스트 슬램덩크,생략
더 퍼스트 슬램덩크,중요한 순간에 자꾸 과거로가는 방법이 좀 짜증났지만 전체적으로 보면 그럭저럭 괜찮은 작품
더 퍼스트 슬램덩크, 형보다 나은 동생은 없군   만화책에서도 클라이막스였던 산왕공고와의 일전을 송태섭 시점으로 애니메이션화  만화책 닳도록 보던 중딩 때였다면 만점을 줬을지도   태섭아  남자 답게 뚫고 나가  같은 차별적 발언은 여전히 걷어낼 생각이 없던 건가  이 극우 작가는     주위의  세대 친구놈들은 모두 난리  극장 가서 볼 정도 흥미는 없지만     서비스 되면 챙겨볼 것  아침부터 밤 늦게까지 농구만 하던 중딩 때의 추억 낭만과  극우 작가에 대한 현실적 실망이 뒤섞여     잡지의 포즈를 그대로 따서 그린 걸 알아버린 고딩 때는 이미 열기가 다소 식었던 때라 그다지 실망스럽지도 않았지만 
더 퍼스트 슬램덩크, 
더 퍼스트 슬램덩크,최고최고
더 퍼스트 슬램덩크,완벽
더 퍼스트 슬램덩크,            아직도  상영중
더 퍼스트 슬램덩크,지금껏 반년동안 상여한 영화가 있었나   년 채우겠네
더 퍼스트 슬램덩크,나는 더 퍼스트 슬램덩크가 상영되는 영화관에 앉아 있었지만  사실 나의 학창 시절의 추억을 보았던게 아닐까 싶다 
더 퍼스트 슬램덩크,최고다 이말이면 됨 이노우에 여 해남전 능남전 도 해주라   
더 퍼스트 슬램덩크,독도는 대한민국 영토입니다 
더 퍼스트 슬램덩크,조연의 시점을 잘 살리고 효과     모든게 완벽 특히 마지막 장면이 미침
