title,review
천박사 퇴마 연구소: 설경의 비밀,기대 되는 영화입니다 
천박사 퇴마 연구소: 설경의 비밀,볼거리 스토리 매우만족 재미있습니다 다음편 기대합니다 
천박사 퇴마 연구소: 설경의 비밀,이런 장르 좋아하지도 않고 기대도 안했는데 꽤 재밌게 봤음
천박사 퇴마 연구소: 설경의 비밀,세련되게 잘 만든 영화
천박사 퇴마 연구소: 설경의 비밀,되게 급전개리고 느꼈던 영화     엥 이렇게 쉽게 끝나버린다고      싶었음 줄거리 자체는 나쁘지 않았는데 뭔가 좀 더 자연스럽게 녹여들얐으면 좋았을 것 같음
천박사 퇴마 연구소: 설경의 비밀,기대 이상이었음  깔끔하게 잘 만든 듯    편 나오겠지 
천박사 퇴마 연구소: 설경의 비밀,최신순 과거순 그리고 추천순은 왜 없앴을까     조선카카오는 여기 댓글 다는 것도 여론조성 될까봐 없앴냐  추천수 상위글이 하나같이 룬석열 검부독재 비난글이라서    
천박사 퇴마 연구소: 설경의 비밀,마지막   분을 위해 나머지를 떼워야하는 약간의 지루함    이솜이 더 주인공인 느낌    나만 그런가       
천박사 퇴마 연구소: 설경의 비밀,퇴마 귀신 이런류 안좋아해서 기대 안했는데 생각보다 재미있었다   이동휘 너무 웃겼고  강동원은 역시나 멋졌다 
천박사 퇴마 연구소: 설경의 비밀,오래전에 원작 웹툰을 본 기억이 있어 봤는데 기대보다 잼있게봄
천박사 퇴마 연구소: 설경의 비밀,재밌었따
천박사 퇴마 연구소: 설경의 비밀,초등 고학년 아이들이랑 너무 재미있게 봤어요 시간 순삭  
천박사 퇴마 연구소: 설경의 비밀,가족들과 가벼운마음으로 즐겁게 볼 수 있었네요 
천박사 퇴마 연구소: 설경의 비밀,천박사  나왔으면
천박사 퇴마 연구소: 설경의 비밀,평점 너무 야박하네   점대는 줘도 충분함  캐스팅굿    굿 액션낫배드  한국전통무속판타지 영화가 별로 없었는데 성공해서 시리즈로 쭉 나왔음 좋갰네요    흥해라 천박사 
천박사 퇴마 연구소: 설경의 비밀,기대없이 봤는데 잼나게 봤어요     유머코드가 저에겐 딱 맞더라구요 
천박사 퇴마 연구소: 설경의 비밀,시간때우기에는 무난한 영화 
천박사 퇴마 연구소: 설경의 비밀,나름 재밌게 봤는데   시간 후다닥    다들 야박하시군 가볍게  보기 좋았씀
천박사 퇴마 연구소: 설경의 비밀,전반적으로 연기가 어설프고 스토리전개가 중구난방임 강동원을 위한 강동원에 의한 강동원의 영화 피처링 지수 지수 이쁘다 
천박사 퇴마 연구소: 설경의 비밀,나름 괜찮은데 뭘그렇게 비평들을 하는지
천박사 퇴마 연구소: 설경의 비밀,무당 예기를   세관람가에 맞게 뻔하게 전개한 진부한 이야기  그냥  뇌를 비우고 보면 볼만한 정도는 되기 때문에 킬링 타임용으로  쓸만함 유치함을 견딜수 있어야함 
천박사 퇴마 연구소: 설경의 비밀,재미있게 봤어요 
천박사 퇴마 연구소: 설경의 비밀,이렇게 보고 싶지 않게 찍을 수 있는 건가  포스터 스틸 사진이 망친 영화  
천박사 퇴마 연구소: 설경의 비밀,몰입도    는 좋네  평점  낮아서  폭망인줄  알았는데  그냥  그렇다  내용이  좀더  디테일했으면
천박사 퇴마 연구소: 설경의 비밀,강동원을 큰 화면으로 볼 수 있다는 것만으로도 재미 만점    도 잘 어우러짐 
천박사 퇴마 연구소: 설경의 비밀,기대안하고갔는데 올해본영화중탑 안에 듭니다  잼있고 스릴있고   액션 환타지영화좋아하는데  딱제스탈이네요   박정민은 정말  대박  
천박사 퇴마 연구소: 설경의 비밀,액션 퇴마 뭐 이런 거 안좋아하는데 예상 외로 재밌게 봄 스피디하고 군더더기 없고    평점이 별로라 망설이다  본 건데 안봤으면 후회할뻔    디테일이 더 있으면 하는 아쉬움은 있음
천박사 퇴마 연구소: 설경의 비밀,다음이 망할려고 그러나    이 재미난 영화를 이 따위 평점을 준다고     축구 중국응원이    라더니 완전히 미쳤구나   다음   좌파 소굴이어서 그런가야    아님 여기가 중국 애들이 놀이터가 된거야     진짜 다음 회사 관리 안할 생각인가 
천박사 퇴마 연구소: 설경의 비밀,잘 짜여진 구성 적절한 개그와 액션  괜찮은     화려한 출연진 모두 훌륭하네요 
천박사 퇴마 연구소: 설경의 비밀,나는 오랜만에 한국영화 재밌게 봤는데평점이 왜 이러지 스릴 넘치고 재밌습니다
천박사 퇴마 연구소: 설경의 비밀,기다렸던 영화인데 평점댓글이 안좋아서 망설이다 봤는데 완전 재밌어요  천박사  나왔으면 좋겠네요
천박사 퇴마 연구소: 설경의 비밀,애들하고 킬링타임용 으로 보기 딱  재밌게 잘 봤어요
천박사 퇴마 연구소: 설경의 비밀,늘어짐 없고 억지 신파 없는 것에 한표  빠른 전개에 적당한 개그 그리고 무당  악령 퇴마 소재로 나름 볼만했던 팝콘 무비
천박사 퇴마 연구소: 설경의 비밀,  세이상관람가인데  잔인한 장면이 나와요  내용은 재미있어요 
천박사 퇴마 연구소: 설경의 비밀,어딜 또 올 것처럼 굴고 그래   이야  박정민  
천박사 퇴마 연구소: 설경의 비밀,시국이 무당 사이비종교판이라 이런 영화가 자꾸 나옴   근데 평점에서  공감순  자체를 없애버렸네  막무가내 운영  한심한 가카의톡답다    
천박사 퇴마 연구소: 설경의 비밀,괜찮네요 굿 애들하고 같이 보기 좋아요
천박사 퇴마 연구소: 설경의 비밀,돈 아깝지 않음  무겁지 않은 분위기에  특수효과도 좋고 무엇보다 중년배우분들 연기가 압권  당주역할 배우분에게 연기가 계속 보고싶었다  고물상 사장님분 배우분도 멋지고  허준호님 연기는 대체불가 
천박사 퇴마 연구소: 설경의 비밀,추석연휴에 가족들과 즐겁게 볼정도의 적당한 영화 
천박사 퇴마 연구소: 설경의 비밀,강동원이랑 허준호가 아까울 정도로 최악의 영화
천박사 퇴마 연구소: 설경의 비밀,재밌게 잘봤음  
천박사 퇴마 연구소: 설경의 비밀,강동원 배우 이러기 있기 없기     그 외모와 능력 이렇게 쓰기 있기 없기     하아   걍 강동원 외모 아님 진짜   하아    웃음기 쏵 빼고 셜록 홈즈 시리즈 같은 거로 드라마 찍음 좋겠다는 생각만 했네   
천박사 퇴마 연구소: 설경의 비밀,영화를 볼꺼면  완전  완전  완전 비추 강동원때문이면 보시고
